_id,name,link,sal_min,sal_max,sal_cur,sal_term,site
5f5b64146bb6a1224fed2025,Backend разработчик на python,https://hh.ru/vacancy/39153243,80000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2030,Программист (Back-end) Python,https://hh.ru/vacancy/39138858,150000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2032,Senior Python Developer,https://hh.ru/vacancy/38823396,230000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2035,"Программист-разработчик Python/Django (frontend, backend)",https://hh.ru/vacancy/39069137,100000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2037,Senior Python developer,https://hh.ru/vacancy/30005963,4000.0,,USD,месяц,https://hh.ru
5f5b64146bb6a1224fed2038,Программист Python,https://hh.ru/vacancy/39126632,100000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2039,Team Lead (Python/Django 3),https://hh.ru/vacancy/39063576,240000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed203b,Python-разработчик,https://hh.ru/vacancy/38562458,150000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed203c,Web-разработчик на Python,https://hh.ru/vacancy/37757725,140000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed203d,Программист Python/Гис-технолог,https://hh.ru/vacancy/39168983,80000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed203f,"Backend-разработчик (Python, Django)",https://hh.ru/vacancy/38923809,150000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed2043,"Разработчик автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/38036578,3000.0,,USD,месяц,https://hh.ru
5f5b64146bb6a1224fed2045,Backend-разработчик на Python/Golang,https://hh.ru/vacancy/39122370,120000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed204c,Программист Python,https://hh.ru/vacancy/38810095,130000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed204e,Data Scientist / Machine Learning Engineer,https://hh.ru/vacancy/38732890,150000.0,,руб.,месяц,https://hh.ru
5f5b64146bb6a1224fed204f,Senior ML Engineer,https://hh.ru/vacancy/38802418,3000.0,,USD,месяц,https://hh.ru
5f5b64146bb6a1224fed2058,Full stack developer (Python / Django / Vue),https://hh.ru/vacancy/37706589,1500.0,,EUR,месяц,https://hh.ru
